Question,OptionA,OptionB,OptionC,OptionD,Correct,Description
If CPI rises from 98 to 116 what is the inflation rate for the period,18.4 percent,13.399999999999999 percent,23.4 percent,28.4 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 114 to 124 what is the inflation rate for the period,18.8 percent,3.8000000000000007 percent,8.8 percent,13.8 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 8687 Unemployed equals 5558 Adult population equals 19322 what are the unemployment rate and the labour force participation rate,73.7 percent and 39.0 percent,39.0 percent and 73.7 percent,61.0 percent and 73.7 percent,39.0 percent and 26.299999999999997 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 9169 Unemployed equals 3262 Adult population equals 23094 what are the unemployment rate and the labour force participation rate,26.2 percent and 53.8 percent,73.8 percent and 53.8 percent,26.2 percent and 46.2 percent,53.8 percent and 26.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If the Reserve Bank lifts the OCR what is the likely near term effect on spending and the exchange rate holding other things equal,Spending slows and the currency depreciates,Spending is unchanged and the currency is unchanged,Spending rises and the currency depreciates,Spending slows and the currency tends to appreciate,D,A higher policy rate raises borrowing costs which cools demand and attracts capital inflows that often appreciate the currency.
Given Employed equals 45223 Unemployed equals 3952 Adult population equals 50667 what are the unemployment rate and the labour force participation rate,8.0 percent and 2.9000000000000057 percent,97.1 percent and 8.0 percent,8.0 percent and 97.1 percent,92.0 percent and 97.1 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 18076 Unemployed equals 4532 Adult population equals 34397 what are the unemployment rate and the labour force participation rate,65.7 percent and 20.0 percent,20.0 percent and 65.7 percent,80.0 percent and 65.7 percent,20.0 percent and 34.3 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 107 to 115 what is the inflation rate for the period,17.5 percent,7.5 percent,2.5 percent,12.5 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 8 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,12 percent,9 percent,5 percent,7 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 91 to 111 what is the inflation rate for the period,32.0 percent,22.0 percent,27.0 percent,17.0 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 102 to 122 what is the inflation rate for the period,19.6 percent,24.6 percent,29.6 percent,14.600000000000001 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 23361 Unemployed equals 3214 Adult population equals 32888 what are the unemployment rate and the labour force participation rate,80.8 percent and 12.1 percent,87.9 percent and 80.8 percent,12.1 percent and 19.200000000000003 percent,12.1 percent and 80.8 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 111 to 129 what is the inflation rate for the period,21.2 percent,26.2 percent,16.2 percent,11.2 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 21602 Unemployed equals 3982 Adult population equals 32101 what are the unemployment rate and the labour force participation rate,15.6 percent and 20.299999999999997 percent,84.4 percent and 79.7 percent,15.6 percent and 79.7 percent,79.7 percent and 15.6 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 36714 Unemployed equals 5803 Adult population equals 55127 what are the unemployment rate and the labour force participation rate,13.6 percent and 22.900000000000006 percent,77.1 percent and 13.6 percent,86.4 percent and 77.1 percent,13.6 percent and 77.1 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If the reserve ratio is 15 percent what is the simple money multiplier in a basic fractional reserve model,14,6,7,8,C,The simple multiplier equals one divided by the reserve ratio written as a fraction so compute one over R.
Given Employed equals 24612 Unemployed equals 217 Adult population equals 28871 what are the unemployment rate and the labour force participation rate,0.9 percent and 14.0 percent,86.0 percent and 0.9 percent,0.9 percent and 86.0 percent,99.1 percent and 86.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
